Timestamp (Hour Ending),CAL Demand (MWh)
4/20/2022 12 a.m. PDT,27504
4/20/2022 1 a.m. PDT,26449
4/20/2022 2 a.m. PDT,25629
4/20/2022 3 a.m. PDT,25045
4/20/2022 4 a.m. PDT,24829
4/20/2022 5 a.m. PDT,25048
4/20/2022 6 a.m. PDT,26342
4/20/2022 7 a.m. PDT,28008
4/20/2022 8 a.m. PDT,28842
4/20/2022 9 a.m. PDT,28869
4/20/2022 10 a.m. PDT,27790
4/20/2022 11 a.m. PDT,27091
4/20/2022 12 p.m. PDT,26342
4/20/2022 1 p.m. PDT,25829
4/20/2022 2 p.m. PDT,25881
4/20/2022 3 p.m. PDT,25839
4/20/2022 4 p.m. PDT,26196
4/20/2022 5 p.m. PDT,27192
4/20/2022 6 p.m. PDT,28944
4/20/2022 7 p.m. PDT,30334
4/20/2022 8 p.m. PDT,31844
4/20/2022 9 p.m. PDT,32042
4/20/2022 10 p.m. PDT,31092
4/20/2022 11 p.m. PDT,29336
4/21/2022 12 a.m. PDT,27492